procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  1 112128 112696    528 2276368    0    0 13387    11 2364 1287 20  5 48 26  1 2026-08-13 11:46:14
 2  0 112128 117352    536 2267856    0    0 15638    10 2828 1828 20  7 47 26  1 2026-08-13 11:46:24
 1  0 112128 117864    544 2268088    0    0 16162    15 3074 2062 21  8 46 24  1 2026-08-13 11:46:34
 2  0 112128 120892    564 2273468    0    0 16994    12 2896 1827 21  7 47 25  0 2026-08-13 11:46:44
 0  1 112128 107320    580 2278008    0    0 16448    14 2991 1916 21  7 47 25  0 2026-08-13 11:46:54
 0  1 112128 121344    604 2270756    0    0 15625    30 2508 1505 21  6 48 25  1 2026-08-13 11:47:04
 0  1 112128 125292    612 2259916    0    0 15162    18 3187 2060 19  8 46 26  1 2026-08-13 11:47:14
 0  1 112128 135380    620 2252436    3    0 15509    12 2686 1612 21  6 47 24  1 2026-08-13 11:47:24
 0  1 112128 136744    628 2243028    0    0 15459    12 3015 1893 20  7 47 25  1 2026-08-13 11:47:34
 1  0 112128 149944    636 2231952    0    0 15142    12 2598 1610 22  6 47 24  0 2026-08-13 11:47:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0 112128 106536    652 2275460    0    0 15405    24 2559 1559 22  6 48 24  1 2026-08-13 11:47:54
 1  0 112128 125712    676 2252236    0    0 13919    24 2733 1653 20  7 47 26  1 2026-08-13 11:48:04
 0  1 112128 138720    684 2237380    0    0 15104    13 2497 1462 21  6 48 24  1 2026-08-13 11:48:14
 0  1 112128 145760    700 2232048    3    0 15771    41 3537 2560 21 10 44 24  1 2026-08-13 11:48:24
 0  1 112128 141204    708 2231292    0    0 16426    10 2639 1588 21  6 48 24  0 2026-08-13 11:48:34
 1  0 112128 152644    724 2224800    0    0 15836    26 3184 2211 21  8 46 25  0 2026-08-13 11:48:44
 0  1 112128 158944    732 2230856    0    0 17021    14 3013 1929 21  7 47 24  0 2026-08-13 11:48:54
 1  0 112128 103268    788 2273052    0    0 15313    38 2783 1774 21  7 47 25  1 2026-08-13 11:49:04
 1  0 112128 134948    796 2254612    1    0 13514     2 2861 1731 20  7 47 26  1 2026-08-13 11:49:14
 0  1 112128 148888    812 2247188    0    0 14490     9 2483 1417 21  6 48 25  1 2026-08-13 11:49:24
 1  0 112128 144808    820 2248128    0    0 14426    19 3088 2086 20  8 46 25  1 2026-08-13 11:49:34
 2  0 112128 135852    836 2259384    0    0 14895    22 2551 1449 21  6 48 25  1 2026-08-13 11:49:44
 1  0 112128 125408    844 2264264    0    0 13980    23 2609 1589 20  6 47 25  1 2026-08-13 11:49:54
 0  1 112128 124212    876 2273660    0    0 13116    41 2832 1774 20  7 46 25  1 2026-08-13 11:50:04
 0  1 112128 147704    880 2255128    0    0 14332    14 2675 1559 21  7 47 25  1 2026-08-13 11:50:14
 0  1 112128 125208    888 2271640    0    0 15052    10 2923 2017 21  8 46 24  0 2026-08-13 11:50:24
 1  0 112128 119644    896 2276388    0    0 15473    11 2720 1670 22  7 47 24  1 2026-08-13 11:50:34
 1  0 112128 119000    912 2273784    0    0 12822    31 2780 1682 19  7 47 27  1 2026-08-13 11:50:44
 0  1 112128 101296    920 2292096    0    0 15090     6 2854 1674 20  7 47 25  1 2026-08-13 11:50:54
 1  0 112640 114900    224 2277964    0   90 15776   114 2678 1786 22  7 47 24  0 2026-08-13 11:51:04
 1  0 113152 115948    232 2284988    0   48 13597    63 3062 1920 21  8 46 24  1 2026-08-13 11:51:14
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  1 119040 105392    220 2285492    6  584 15680   596 2756 1605 21  7 47 24  1 2026-08-13 11:51:24
 1  0 119040 133920    228 2262700    0    0 14176    11 3027 1989 21  8 46 24  1 2026-08-13 11:51:34
 2  0 119040 133696    236 2255648    0    0 15746    12 2945 1789 21  7 47 24  1 2026-08-13 11:51:44
 0  1 119040 645128    244 1686444    7    0 13767    11 3292 2239 22 16 39 23  0 2026-08-13 11:51:54
 1  0 119040 547212    284 1844972    1    0 15846    32 2703 1553 18  7 47 26  1 2026-08-13 11:52:04
 1  0 119040 394248    292 2000708    0    0 15574    25 2611 1466 18  8 48 25  1 2026-08-13 11:52:14
 0  1 119040 250356    300 2146380    0    0 14569    12 2831 1639 19  9 47 25  1 2026-08-13 11:52:24
 1  0 118784 117660    308 2272760  143    0 17590    19 2933 1719 21  7 46 25  1 2026-08-13 11:52:34
 1  0 118784 115808    316 2278008    0    0 16646    12 2712 1643 21  6 48 25  1 2026-08-13 11:52:44
 1  0 118784 153184    324 2234744    0    0 16634    13 2784 1806 22  7 47 24  0 2026-08-13 11:52:54
 1  0 118784 138016    348 2244460    0    0 17347    26 2724 1578 22  6 48 25  1 2026-08-13 11:53:04
 1  0 118784 159248    356 2235508    0    0 15072    18 2927 1806 22  7 46 24  1 2026-08-13 11:53:14
 0  1 118784 117708    372 2281040    3    0 15381    34 2527 1464 21  6 48 24  1 2026-08-13 11:53:24
 1  0 118784 137892    384 2267632    0    0 14571    20 2854 1797 23  7 46 23  1 2026-08-13 11:53:34
 1  0 118784 132108    392 2273748    1    0 16484    14 2670 1546 21  6 48 24  0 2026-08-13 11:53:44
 0  1 118528 128464    400 2279640    0    0 14788    13 2982 1993 23  8 46 23  0 2026-08-13 11:53:54
 1  0 118528 128308    432 2278384    0    0 16828    43 3020 1938 22  8 46 24  0 2026-08-13 11:54:04
 1  0 118528 118820    440 2285272    0    0 15975    10 2793 1789 22  7 47 23  0 2026-08-13 11:54:14
 0  1 118528 130056    456 2265912    0    0 16417    23 2942 1745 22  7 47 24  0 2026-08-13 11:54:24
 1  0 118272 102020    464 2295940    0    0 16441     7 2919 1738 22  7 47 24  0 2026-08-13 11:54:34
 1  1 118272 127252    468 2263944    4    0 16337    19 3383 2245 21 10 45 24  0 2026-08-13 11:54:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0 118272 114712    616 2280636    1    0 19603    18 2792 1666 21  6 47 25  0 2026-08-13 11:54:54
 0  1 118272 121484    324 2269944    4   12 14699    58 3073 2052 22  8 45 24  1 2026-08-13 11:55:04
 1  0 118272 147152    324 2246136    0   17 14264    27 2528 1408 20  6 47 25  1 2026-08-13 11:55:14
